['USID', 'cluster_algo', 'cluster_number']
[8456000436, 'KMeans', 2]
[8456000437, 'KMeans', 2]
[8456000438, 'KMeans', 2]
[8456000439, 'KMeans', 2]
[8456000440, 'KMeans', 2]
[8456000441, 'KMeans', 2]
[8456000442, 'KMeans', 2]
[8456000443, 'KMeans', 2]
[8456000444, 'KMeans', 2]
[8456000445, 'KMeans', 2]
[8456000446, 'KMeans', 2]
[8456000447, 'KMeans', 2]
[8456000448, 'KMeans', 2]
[8456000449, 'KMeans', 2]
[8456000450, 'KMeans', 2]
[8456000451, 'KMeans', 2]
[8456000452, 'KMeans', 2]
[8456000453, 'KMeans', 2]
[8456000454, 'KMeans', 2]
[8456000455, 'KMeans', 2]
[8456000456, 'KMeans', 2]
[8456000457, 'KMeans', 2]
[8456000458, 'KMeans', 2]
[8456000459, 'KMeans', 2]
[8456000460, 'KMeans', 2]
[8456000461, 'KMeans', 2]
[8456000462, 'KMeans', 2]
[8456000463, 'KMeans', 2]
[8456000464, 'KMeans', 2]
[8456000465, 'KMeans', 2]
[8456000466, 'KMeans', 2]
[8456000467, 'KMeans', 2]
[8456000468, 'KMeans', 2]
[8456000469, 'KMeans', 2]
[8456000470, 'KMeans', 2]
[8456000471, 'KMeans', 2]
[8456000472, 'KMeans', 2]
[8456000473, 'KMeans', 2]
[8456000474, 'KMeans', 2]
[8456000475, 'KMeans', 2]
[8456000476, 'KMeans', 2]
[8456000477, 'KMeans', 2]
[8456000478, 'KMeans', 2]
[8456000479, 'KMeans', 2]
[8456000480, 'KMeans', 2]
[8456000481, 'KMeans', 2]
[8456000482, 'KMeans', 2]
[8456000483, 'KMeans', 2]
[8456000484, 'KMeans', 2]
[8456000485, 'KMeans', 2]
[8456000486, 'KMeans', 2]
[8456000487, 'KMeans', 2]
[8456000488, 'KMeans', 2]
[8456000489, 'KMeans', 2]
[8456000490, 'KMeans', 2]
[8456000491, 'KMeans', 2]
[8456000492, 'KMeans', 2]
[8456000493, 'KMeans', 2]
[8456000494, 'KMeans', 2]
[8456000495, 'KMeans', 2]
[8456000496, 'KMeans', 2]
[8456000497, 'KMeans', 2]
[8456000498, 'KMeans', 2]
[8456000499, 'KMeans', 2]
[8456000500, 'KMeans', 2]
[8456000502, 'KMeans', 2]
[8456000503, 'KMeans', 2]
[8456000504, 'KMeans', 2]
[8456000505, 'KMeans', 2]
[8456000506, 'KMeans', 2]
[8456000507, 'KMeans', 2]
[8456000508, 'KMeans', 2]
[8456000509, 'KMeans', 2]
[8456000510, 'KMeans', 2]
[8456000511, 'KMeans', 2]
[8456000512, 'KMeans', 2]
[8456000513, 'KMeans', 2]
[8456000514, 'KMeans', 2]
[8456000515, 'KMeans', 2]
[8456000516, 'KMeans', 2]
[8456000517, 'KMeans', 2]
[8456000518, 'KMeans', 2]
[8456000519, 'KMeans', 2]
[8456000520, 'KMeans', 2]
[8456000521, 'KMeans', 2]
[8456000522, 'KMeans', 2]
[8456000523, 'KMeans', 2]
[8456000524, 'KMeans', 2]
[8456000525, 'KMeans', 2]
[8456000526, 'KMeans', 2]
[8456000527, 'KMeans', 2]
[8456000528, 'KMeans', 2]
[8456000529, 'KMeans', 2]
[8456000530, 'KMeans', 2]
[8456000531, 'KMeans', 2]
[8456000532, 'KMeans', 2]
[8456000533, 'KMeans', 2]
[8456000534, 'KMeans', 2]
[8456000535, 'KMeans', 2]
[8456000536, 'KMeans', 2]
[8456000537, 'KMeans', 2]
[8456000538, 'KMeans', 2]
[8456000539, 'KMeans', 2]
[8456000540, 'KMeans', 2]
[8456000541, 'KMeans', 2]
[8456000542, 'KMeans', 2]
[8456000543, 'KMeans', 2]
[8456000544, 'KMeans', 2]
[8456000545, 'KMeans', 2]
[8456000546, 'KMeans', 2]
[8456000547, 'KMeans', 2]
[8456000548, 'KMeans', 2]
[8456000549, 'KMeans', 2]
[8456000550, 'KMeans', 2]
[8456000551, 'KMeans', 2]
[8456000552, 'KMeans', 2]
[8456000553, 'KMeans', 2]
[8456000554, 'KMeans', 2]
[8456000555, 'KMeans', 2]
[8456000556, 'KMeans', 2]
[8456000557, 'KMeans', 2]
[8456000558, 'KMeans', 2]
[8456000559, 'KMeans', 2]
[8456000560, 'KMeans', 2]
[8456000561, 'KMeans', 2]
[8456000562, 'KMeans', 2]
[8456000563, 'KMeans', 2]
[8456000564, 'KMeans', 2]
[8456000565, 'KMeans', 2]
